标题,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
血色将至,2007 / 美国 / 剧情 / 保罗·托马斯·安德森 / 丹尼尔·戴-刘易斯 巴里·德尔·舍曼,8.4,https://movie.douban.com/subject/1945780/,2023-03-27 17:50:51,5,,,public
JOJO的奇妙冒险 星尘斗士 埃及篇,2015 / 日本 / 剧情 动作 动画 / 津田尚克 加藤敏幸 铃木健一 副岛惠文 町谷俊辅 高村雄太 藤本次朗 江副仁美 吉川志我津 / 小野大辅 石冢运升,9.6,https://movie.douban.com/subject/25984031/,2023-01-29 12:23:45,,,,public
JOJO的奇妙冒险,2012 / 日本 / 剧情 动作 动画 冒险 / 津田尚克 加藤敏幸 铃木健一 大脊户聪 南康宏 东出太 米田光宏 内田信吾 高村雄太 间岛崇宽 藤本次朗 阿部雅司 江副仁美 佐佐木真哉 西本由纪夫 / 兴津和幸 子安武人,9.1,https://movie.douban.com/subject/11498785/,2023-01-29 12:23:07,5,,,public
金枝玉叶2,1996 / 中国香港 / 喜剧 同性 / 陈可辛 / 张国荣 梅艳芳,8.0,https://movie.douban.com/subject/1302054/,2023-07-07 07:59:07,4,,,public
JOJO的奇妙冒险 星尘斗士,2014 / 日本 / 剧情 动作 动画 / 津田尚克 加藤敏幸 铃木健一 小仓宏文 副岛惠文 米田光宏 大脊户聪 藤本次朗 高村雄太 山田弘和 町谷俊辅 玉村仁 江副仁美 吉川志我津 / 小野大辅 石冢运升,9.4,https://movie.douban.com/subject/23774708/,2023-01-29 12:23:29,,,,public
罗曼蒂克消亡史,2016 / 中国大陆 中国香港 / 剧情 / 程耳 / 葛优 章子怡,7.7,https://movie.douban.com/subject/24751763/,2022-12-22 16:24:38,5,,,public
玛丽和麦克斯,2009 / 澳大利亚 美国 / 剧情 喜剧 动画 / 亚当·艾略特 / 托妮·科莱特 菲利普·塞默·霍夫曼,9.0,https://movie.douban.com/subject/3072124/,2022-12-22 16:12:31,5,,,public
天注定,2013 / 中国大陆 日本 法国 / 剧情 犯罪 / 贾樟柯 / 赵涛 姜武,8.3,https://movie.douban.com/subject/21941283/,2022-12-11 02:40:53,5,,,public
海街日记,2015 / 日本 / 剧情 家庭 / 是枝裕和 / 绫濑遥 长泽雅美,8.8,https://movie.douban.com/subject/25895901/,2022-11-20 13:17:04,5,,,public
阿凡达：水之道,2022 / 美国 / 动作 科幻 冒险 / 詹姆斯·卡梅隆 / 萨姆·沃辛顿 佐伊·索尔达娜,7.8,https://movie.douban.com/subject/4811774/,2022-12-25 00:50:06,5,,,public
荒蛮故事,2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪 / 达米安·斯兹弗隆 / 达里奥·格兰迪内蒂 玛丽娅·玛努尔,8.7,https://movie.douban.com/subject/24750126/,2022-09-12 16:25:40,5,,,public
双瞳,2002 / 中国香港 中国台湾 / 剧情 悬疑 惊悚 犯罪 / 陈国富 / 梁家辉 刘若英,7.7,https://movie.douban.com/subject/1305046/,2022-09-11 22:33:33,5,,,public
疯狂的赛车,2009 / 中国大陆 / 喜剧 动作 冒险 / 宁浩 / 黄渤 戎祥,8.4,https://movie.douban.com/subject/2124703/,2022-11-23 17:43:03,5,,,public
独行月球,2022 / 中国大陆 / 喜剧 科幻 / 张吃鱼 / 沈腾 马丽,6.6,https://movie.douban.com/subject/35183042/,2022-08-02 17:54:44,2,,,public
模仿游戏,2014 / 英国 美国 / 剧情 同性 传记 战争 / 莫滕·泰杜姆 / 本尼迪克特·康伯巴奇 凯拉·奈特莉,8.8,https://movie.douban.com/subject/10463953/,2022-08-01 09:50:50,5,,,public
绿洲,2002 / 韩国 / 剧情 爱情 / 李沧东 / 薛景求 文素利,8.7,https://movie.douban.com/subject/1299582/,2022-07-24 02:24:57,5,,,public
隐入尘烟,2022 / 中国大陆 / 剧情 / 李睿珺 / 武仁林 海清,8.4,https://movie.douban.com/subject/35131346/,2022-07-23 00:55:17,5,,2022年7月为止，本年度最好的国内电影！很真实的爱情故事，有很强的代入感。,public
无双,2018 / 中国大陆 中国香港 / 剧情 动作 悬疑 犯罪 / 庄文强 / 周润发 郭富城,8.0,https://movie.douban.com/subject/26425063/,2022-07-16 22:17:59,4,,,public
同学麦娜丝,2020 / 中国台湾 / 剧情 喜剧 / 黄信尧 / 施名帅 郑人硕,7.9,https://movie.douban.com/subject/34902639/,2022-07-16 22:12:50,5,,,public
雄狮少年,2021 / 中国大陆 / 剧情 喜剧 动画 / 孙海鹏 / 李昕 陈业雄,8.3,https://movie.douban.com/subject/35144311/,2022-07-16 22:12:34,4,,,public
Hello！树先生,2011 / 中国大陆 / 剧情 / 韩杰 / 王宝强 谭卓,8.3,https://movie.douban.com/subject/4135710/,2022-07-16 22:10:12,5,,,public
青春派,2013 / 中国大陆 / 剧情 爱情 / 刘杰 / 董子健 秦海璐,7.4,https://movie.douban.com/subject/24735062/,2022-07-16 22:07:07,,,,public
推拿,2014 / 中国大陆 法国 / 剧情 / 娄烨 / 郭晓东 秦昊,8.0,https://movie.douban.com/subject/20020577/,2022-07-15 14:04:22,5,,,public
孤味,2020 / 中国台湾 / 剧情 家庭 / 许承杰 / 陈淑芳 谢盈萱,8.0,https://movie.douban.com/subject/34805873/,2022-07-10 23:21:39,5,,,public
山河故人,2015 / 中国大陆 法国 日本 / 剧情 家庭 / 贾樟柯 / 赵涛 张译,8.1,https://movie.douban.com/subject/25890005/,2022-07-17 11:10:15,5,,,public
背靠背，脸对脸,1994 / 中国大陆 中国香港 / 剧情 / 黄建新 杨亚洲 / 牛振华 雷恪生,9.5,https://movie.douban.com/subject/1307856/,2022-06-19 02:01:35,5,,,public
瞬息全宇宙,2022 / 美国 / 喜剧 奇幻 冒险 / 关家永 丹尼尔·施纳特 / 杨紫琼 许玮伦,7.6,https://movie.douban.com/subject/30314848/,2022-05-26 12:28:10,5,,,public
纵横四海,1991 / 中国香港 / 剧情 喜剧 动作 犯罪 / 吴宇森 / 周润发 张国荣,8.8,https://movie.douban.com/subject/1295409/,2022-04-09 00:20:13,5,,,public
孔雀,2005 / 中国大陆 / 剧情 家庭 / 顾长卫 / 张静初 冯粒,8.2,https://movie.douban.com/subject/1309004/,2022-04-05 10:47:03,5,,,public
金枝玉叶,1994 / 中国香港 / 喜剧 爱情 同性 / 陈可辛 / 袁咏仪 张国荣,8.4,https://movie.douban.com/subject/1303376/,2022-04-07 14:52:44,5,,,public
投名状,2007 / 中国大陆 中国香港 / 剧情 动作 战争 古装 / 陈可辛 / 李连杰 金城武,7.9,https://movie.douban.com/subject/1947089/,2022-04-27 12:12:25,5,,,public
李米的猜想,2008 / 中国大陆 中国香港 / 剧情 爱情 犯罪 / 曹保平 / 周迅 邓超,8.1,https://movie.douban.com/subject/3230459/,2022-03-31 12:40:47,5,,,public
猫的报恩,2002 / 日本 / 喜剧 动画 奇幻 冒险 / 森田宏幸 / 池胁千鹤 袴田吉彦,8.2,https://movie.douban.com/subject/1304970/,2022-04-21 22:25:41,5,,,public
寄生虫,2019 / 韩国 / 剧情 / 奉俊昊 / 宋康昊 李善均,8.8,https://movie.douban.com/subject/27010768/,2022-03-20 12:40:29,5,,,public
谁先爱上他的,2018 / 中国台湾 / 剧情 喜剧 同性 / 徐誉庭 许智彦 / 邱泽 谢盈萱,8.6,https://movie.douban.com/subject/27119586/,2022-03-20 12:39:33,5,,,public
斗牛,2009 / 中国大陆 / 剧情 喜剧 / 管虎 / 黄渤 闫妮,8.2,https://movie.douban.com/subject/4009651/,2022-03-15 22:28:00,5,,,public
赛车总动员,2006 / 美国 / 喜剧 动画 冒险 / 约翰·拉塞特 乔·兰福特 / 欧文·威尔逊 保罗·纽曼,8.2,https://movie.douban.com/subject/1428878/,2022-03-14 00:43:05,5,,,public
